,objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
961,1237663784741700209,16.980663,0.59854011,24.22957,21.92186,20.13737,19.51349,18.91434,0.3376183,3.37425,1.841682,0.658268,0.4436913,GALAXY
962,1237663785278963848,17.81461,0.85859294,22.78823,20.72629,19.72504,19.1674,18.75343,0.1563346,1.58606,0.7855663,0.4264545,0.2917194,GALAXY
963,1237657220412866580,163.44716,54.816426,17.79227,16.88025,16.60926,16.48745,16.49715,-3.046342e-05,0.9301548,0.2503643,0.1188602,-0.007396698,STAR
964,1237669680113451202,358.41109,6.8337341,21.97963,21.81762,21.78462,22.06766,21.67111,0.04010193,0.3579273,0.02326202,-0.2126808,0.3352528,GALAXY
965,1237664871894286412,133.44819,35.67961,15.94158,14.8192,14.38385,14.32718,14.23872,-4.658315e-05,1.154472,0.3899841,-0.4425659,0.6209373,STAR
966,1237657612871532560,158.40846,55.346197,17.75107,16.87579,16.64775,16.57833,16.57814,-0.0006847352,0.8770027,0.2133198,0.05745697,0.01294327,STAR
967,1237658800957358212,159.36845,51.298402,20.8498,18.941,18.13679,17.79156,17.65514,-0.0003528775,1.909676,0.8020077,0.3241501,0.1461773,STAR
968,1237658302207623498,170.75829,58.234172,24.43912,22.80501,21.32059,19.32652,18.16252,0.0001178371,1.614912,1.545422,1.987022,1.178051,STAR
969,1237678622228808170,3.34084200000001,4.437947,25.28274,22.58799,21.57427,20.86877,20.48472,0.5069829,3.201351,1.13616,0.6867523,0.3709164,GALAXY
970,1237678598629819140,5.60297359999998,3.7195272,23.02049,23.38515,21.88688,20.75765,19.97563,0.6362922,-0.3554897,1.56386,1.058054,0.6601982,GALAXY
971,1237678598628770419,3.24527669999998,3.6744988,24.7599,25.38351,22.58486,21.18992,20.24662,0.7683246,1.072096,2.772013,1.323141,0.9347649,GALAXY
972,1237653612644991536,132.4476,48.63314,24.14545,22.27136,20.8065,19.79686,19.32669,-0.0002296046,2.109718,1.489454,1.001928,0.4531956,STAR
973,1237678660352475516,5.03108099999997,3.839304,23.58248,22.1471,20.81014,20.28361,20.00714,0.28644,1.346134,1.365425,0.5231056,0.2745304,GALAXY
974,1237648702984093928,223.63765,-1.1445307,21.60898,19.04385,17.90357,17.4581,17.20831,-7.498087e-05,2.566881,1.162815,0.446146,0.2539959,STAR
975,1237657769639346266,161.90954,54.363365,17.41907,16.37803,16.05313,15.91426,15.85245,0.0001513114,1.083811,0.3155937,0.1225939,0.05764008,STAR
976,1237663782595526792,19.952095,-1.1156742,21.69123,19.83496,18.75481,18.35711,17.90753,0.1600597,2.212582,1.144989,0.4684582,0.3626499,GALAXY
977,1237658613052342365,161.21605,47.684729,23.57738,19.91295,18.50351,17.19959,16.43301,-1.955917e-05,3.980005,1.41567,1.320505,0.7403851,STAR
978,1237678598092555261,4.79571929999997,3.328597,23.64477,24.25746,23.10286,21.68065,20.38527,0.8409949,-1.381954,1.968678,1.529694,1.065174,GALAXY
979,1237678598629163153,4.19785960000002,3.7109726,21.77288,21.62755,21.41285,21.06077,21.52991,0.0434475,0.330946,0.2880421,0.3234005,-0.6390705,GALAXY
980,1237663783668154497,17.447421,-0.35702024,21.38533,20.30011,20.14021,19.73586,19.54353,0.06667349,1.05479,0.4037361,0.2958775,0.08445168,GALAXY
981,1237667291568669286,117.3317,9.8738368,20.07021,19.2758,18.91774,18.80245,18.78531,3.539216e-05,0.8039169,0.3448029,0.1092205,0.005073547,STAR
982,1237666338652487863,17.549794,-0.54779865,20.63104,19.7668,19.58061,19.37728,19.21622,0.06194239,1.019665,0.4002609,0.2810192,0.1085625,GALAXY
983,1237666338115616970,17.513502,-0.98170192,23.10323,20.96187,19.46737,18.95821,18.4112,0.2726654,2.140083,1.614506,0.5293846,0.418211,GALAXY
984,1237658205041524853,161.14408,47.838444,21.5837,19.20924,17.96981,17.19206,16.70454,-0.000143414,2.39172,1.307941,0.7997704,0.4558582,STAR
