objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class
1237662684682256904,214.92578,33.745394,24.48244,23.87841,22.02549,20.86299,20.17504,0.7552376,1.593542,1.849972,1.228569,0.5305347,GALAXY
1237662684682256828,214.89946,33.757247,23.25186,22.24156,21.28349,20.49587,19.96106,0.5899346,0.7417336,1.009956,0.8055878,0.5758858,GALAXY
1237662684682322307,215.0418,33.712373,24.23225,22.84705,22.24888,21.09042,20.64584,0.6905324,1.091719,1.21505,1.21295,0.4824295,GALAXY
1237662684682256604,214.92822,33.672194,24.84492,22.73205,21.00056,20.09058,19.68489,0.587272,3.098431,1.895012,1.020088,0.4782486,GALAXY
1237664853107081476,214.90518,33.620989,23.23373,21.31496,19.97416,19.34864,18.94787,0.1697074,3.084887,1.298126,0.5976868,0.3846188,GALAXY
1237662684682322399,215.11673,33.789234,23.31346,22.76669,21.23913,20.23668,19.66799,0.5903017,0.5314388,1.632282,1.029922,0.5424919,GALAXY
1237662661596283322,215.07341,34.982341,24.21621,23.57283,22.33245,21.01435,20.03376,0.689287,2.440247,1.788866,1.295984,0.8059521,GALAXY
1237662223541338361,215.16155,34.760094,23.35044,21.67365,19.9052,19.44943,19.11054,0.3190486,1.667768,1.703461,0.6153851,0.2944412,GALAXY
1237662223541338828,215.24444,34.693396,23.118,22.9658,22.20497,21.32189,20.87917,0.6324432,1.116238,0.8970642,0.905035,0.3992996,GALAXY
1237662685755998803,215.21113,34.512918,25.31403,22.5596,20.97027,20.08647,19.79797,0.4767966,4.235249,1.555489,0.8391666,0.4221745,GALAXY
1237662685755998405,215.2349,34.509859,24.14665,22.51877,20.75434,19.97355,19.66176,0.4758287,2.303764,1.898909,0.7956963,0.3498192,GALAXY
1237664854180824190,215.20054,34.402429,23.57642,24.13763,21.98027,20.85172,20.43639,0.6426893,0.3791504,2.512421,1.125978,0.5089798,GALAXY
1237664854180823543,215.03151,34.271689,23.83671,22.84954,21.27573,20.57483,19.94386,0.4739391,1.558105,1.50432,0.7561684,0.5526447,GALAXY
1237664854180889016,215.18868,34.222547,23.28599,22.50551,21.21595,20.40847,20.10122,0.6237667,0.8050098,1.319084,0.7826691,0.3871155,GALAXY
1237662685219128135,215.15783,34.174997,24.65487,22.45513,20.93192,20.15252,19.79813,0.4655974,1.999117,1.658863,0.8177414,0.414032,GALAXY
1237662685219193779,215.34905,34.158839,23.54606,23.40444,22.08716,20.99658,20.40393,0.5578715,2.986681,1.254957,0.7988148,0.5421638,GALAXY
1237662685219259295,215.41086,34.137755,23.88601,23.72306,21.99384,20.78797,20.15659,0.6794176,-0.04268265,1.903385,1.273588,0.6518745,GALAXY
1237664853644018636,215.25205,33.964555,22.73658,22.11112,21.19434,20.3915,19.92413,0.5284734,0.763895,1.061544,0.8156109,0.4502831,GALAXY
